Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:20:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:23:10 PM       0     21.98      0.00     43.96      0.00      0.00     34.07
10:23:11 PM       0     23.40      0.00     53.19      0.00      0.00     23.40
10:23:12 PM       0     17.53      0.00     50.52      0.00      0.00     31.96
10:23:13 PM       0     13.19      0.00     49.45      0.00      0.00     37.36
10:23:14 PM       0     15.38      0.00     50.96      0.00      0.00     33.65
10:23:15 PM       0     17.31      0.00     49.04      0.00      0.00     33.65
10:23:16 PM       0     16.67      0.00     47.92      0.00      0.00     35.42
10:23:17 PM       0     16.22      0.00     52.25      0.00      0.00     31.53
10:23:18 PM       0     14.71      0.00     50.98      0.00      0.00     34.31
10:23:19 PM       0     15.73      0.00     44.94      0.00      0.00     39.33
10:23:20 PM       0     19.00      0.00     47.00      0.00      0.00     34.00
10:23:21 PM       0     16.67      0.00     49.02      0.00      0.00     34.31
10:23:22 PM       0     17.92      0.00     50.00      0.00      0.00     32.08
10:23:23 PM       0     16.19      0.00     50.48      0.00      0.00     33.33
10:23:24 PM       0     18.42      0.00     50.88      0.00      0.00     30.70
10:23:25 PM       0     15.22      0.00     47.83      0.00      0.00     36.96
10:23:26 PM       0     13.33      0.00     47.78      0.00      0.00     38.89
10:23:27 PM       0     16.67      0.00     46.88      0.00      0.00     36.46
10:23:28 PM       0     17.14      0.00     50.48      0.00      0.00     32.38
10:23:29 PM       0     16.50      0.00     49.51      0.00      0.00     33.98
10:23:30 PM       0     15.53      0.00     51.46      0.00      0.00     33.01
10:23:31 PM       0     13.33      0.00     47.78      0.00      0.00     38.89
10:23:32 PM       0     17.43      0.00     51.38      0.00      0.00     31.19
10:23:33 PM       0     15.05      0.00     47.31      0.00      0.00     37.63
10:23:34 PM       0     16.04      0.00     51.89      0.00      0.00     32.08
10:23:35 PM       0     14.43      0.00     49.48      0.00      0.00     36.08
10:23:36 PM       0     15.96      0.00     47.87      0.00      0.00     36.17
10:23:37 PM       0     14.74      0.00     49.47      0.00      0.00     35.79
10:23:38 PM       0     17.31      0.00     49.04      0.00      0.00     33.65
10:23:39 PM       0     16.33      0.00     48.98      0.00      0.00     34.69
10:23:40 PM       0     16.33      0.00     48.98      0.00      0.00     34.69
10:23:41 PM       0     17.20      0.00     45.16      0.00      0.00     37.63
10:23:42 PM       0     13.79      0.00     47.13      0.00      0.00     39.08
10:23:43 PM       0     17.48      0.00     48.54      0.00      0.00     33.98
10:23:44 PM       0     16.84      0.00     47.37      0.00      0.00     35.79
10:23:45 PM       0     17.76      0.00     49.53      0.00      0.00     32.71
10:23:46 PM       0     16.33      0.00     48.98      0.00      0.00     34.69
10:23:47 PM       0     14.74      0.00     48.42      0.00      0.00     36.84
10:23:48 PM       0     18.37      0.00     46.94      0.00      0.00     34.69
10:23:49 PM       0     15.79      0.00     48.42      0.00      0.00     35.79
10:23:50 PM       0     16.82      0.00     50.47      0.00      0.00     32.71
10:23:51 PM       0     18.00      0.00     47.00      0.00      0.00     35.00
10:23:52 PM       0     17.35      0.00     47.96      0.00      0.00     34.69
10:23:53 PM       0     14.58      0.00     48.96      0.00      0.00     36.46
10:23:54 PM       0     16.30      0.00     46.74      0.00      0.00     36.96
10:23:55 PM       0     17.82      0.00     48.51      0.00      0.00     33.66
10:23:56 PM       0     16.48      0.00     45.05      0.00      0.00     38.46
10:23:57 PM       0     15.05      0.00     48.39      0.00      0.00     36.56
10:23:58 PM       0     15.31      0.00     50.00      0.00      0.00     34.69
10:23:59 PM       0     16.33      0.00     48.98      0.00      0.00     34.69
