CPU: Intel Skylake microarchitecture, speed 2.701e+06 MHz (estimated)
Counted cpu_clk_unhalted events () with a unit mask of 0x00 (Core cycles when at least one thread on the physical core is not in halt state) count 2100000
samples  %        image name               app name                 symbol name
376       0.0659  server                   server                   tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::store_with_release(tbb::strict_ppl::internal::concurrent_queue_rep_base::page*)
369       0.0647  server                   server                   std::pair<unsigned long, unsigned long>::pair<unsigned long&, unsigned long&, void>(unsigned long&, unsigned long&)
364       0.0638  server                   server                   tbb::internal::atomic_impl<unsigned long>::converter<unsigned long>::bits_type tbb::internal::atomic_impl<unsigned long>::to_bits<unsigned long>(unsigned long)
362       0.0635  server                   server                   CityHash64WithSeeds(char const*, unsigned long, unsigned long, unsigned long)
350       0.0614  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_decref_and_unlock_
340       0.0596  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evbuffer_freeze
336       0.0589  server                   server                   tbb::strict_ppl::concurrent_queue<queue_task, tbb::cache_aligned_allocator<queue_task> >::move_construct_item(queue_task*, void const*)
333       0.0584  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_pending
330       0.0579  server                   server                   tbb::strict_ppl::internal::concurrent_queue_rep<queue_task>::choose(unsigned long)
321       0.0563  server                   server                   tbb::strict_ppl::internal::micro_queue<queue_task>::get_ref(tbb::strict_ppl::internal::concurrent_queue_rep_base::page&, unsigned long)
319       0.0559  server                   server                   tbb::internal::atomic_impl<unsigned long>::converter<unsigned long>::converter(unsigned long)
315       0.0552  libc-2.17.so             libc-2.17.so             __strlen_sse2_pminub
299       0.0524  server                   server                   nvmem_memcpy(char*, char const*, unsigned long)
294       0.0515  server                   server                   __TBB_machine_pause(int)
294       0.0515  server                   server                   tbb::strict_ppl::internal::is_valid_page(tbb::strict_ppl::internal::concurrent_queue_rep_base::page const*)
290       0.0508  server                   server                   ShiftMix(unsigned long)
275       0.0482  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evbuffer_expand_fast_
272       0.0477  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_del_
271       0.0475  libjemalloc.so.2         libjemalloc.so.2         je_base_alloc_extent
269       0.0472  server                   server                   HashLen16(unsigned long, unsigned long)
261       0.0458  server                   server                   hikv::search(int, unsigned char*, unsigned char*)
260       0.0456  libc-2.17.so             libc-2.17.so             clock_gettime
254       0.0445  server                   server                   Uint128High64(std::pair<unsigned long, unsigned long> const&)
250       0.0438  server                   server                   tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::converter<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::bits_type& tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::to_bits_ref<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>(tbb::strict_ppl::internal::concurrent_queue_rep_base::page*&)
250       0.0438  server                   server                   tbb::spin_mutex::scoped_lock::~scoped_lock()
248       0.0435  server                   server                   Uint128Low64(std::pair<unsigned long, unsigned long> const&)
246       0.0431  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evbuffer_read_setup_vecs_
243       0.0426  server                   server                   tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::converter<tbb::strict_ppl::internal::concurrent_queue_rep_base::page* const volatile>::bits_type& tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::to_bits_ref<tbb::strict_ppl::internal::concurrent_queue_rep_base::page* const volatile>(tbb::strict_ppl::internal::concurrent_queue_rep_base::page* const volatile&)
242       0.0424  server                   server                   task_queue::add_task(int, int, void**)
242       0.0424  server                   server                   unsigned long& std::forward<unsigned long&>(std::remove_reference<unsigned long&>::type&)
238       0.0417  libc-2.17.so             libc-2.17.so             ioctl
231       0.0405  libjemalloc.so.2         libjemalloc.so.2         je_arena_tcache_fill_small
229       0.0401  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::internalPoolFree(rml::internal::MemoryPool*, void*, unsigned long) [clone .constprop.42]
217       0.0380  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_run_readcb_
217       0.0380  server                   server                   tbb::strict_ppl::internal::concurrent_queue_rep_base::page* tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::to_value<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>(tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::converter<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::bits_type)
214       0.0375  server                   server                   tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::converter<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::converter(tbb::strict_ppl::internal::concurrent_queue_rep_base::page*)
213       0.0373  server                   server                   tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::converter<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::bits_type tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::to_bits<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>(tbb::strict_ppl::internal::concurrent_queue_rep_base::page*)
207       0.0363  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evbuffer_copyout_from
206       0.0361  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evbuffer_invoke_callbacks_
203       0.0356  libnspr4.so              libnspr4.so              /usr/lib64/libnspr4.so
201       0.0352  libtbbmalloc.so.2        libtbbmalloc.so.2        bool rml::internal::isLargeObject<(rml::internal::MemoryOrigin)0>(void*) [clone .part.38]
201       0.0352  server                   server                   tbb::internal::atomic_traits<8ul, (tbb::memory_semantics)0>::fetch_and_add(void volatile*, long)
200       0.0351  opannotate               opannotate               /usr/bin/opannotate
199       0.0349  libjemalloc.so.2         libjemalloc.so.2         je_extent_heap_remove_first
199       0.0349  server                   server                   tbb::strict_ppl::internal::concurrent_queue_base_v3<queue_task>::internal_push(void const*, void (*)(queue_task*, void const*))
193       0.0338  server                   server                   unsigned long tbb::internal::atomic_impl<unsigned long>::compare_and_swap<(tbb::memory_semantics)0>(unsigned long, unsigned long)
190       0.0333  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_incref_and_lock_
187       0.0328  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_socket_outbuf_cb
180       0.0316  libpthread-2.17.so       libpthread-2.17.so       pthread_getspecific
179       0.0314  server                   server                   entry_key_t::operator>(entry_key_t&)
175       0.0307  server                   server                   tbb::atomic<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::operator=(tbb::strict_ppl::internal::concurrent_queue_rep_base::page*)
174       0.0305  libjemalloc.so.2         libjemalloc.so.2         extent_recycle.isra.90
174       0.0305  server                   server                   tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::operator tbb::strict_ppl::internal::concurrent_queue_rep_base::page*() const volatile
170       0.0298  firefox                  firefox                  /usr/lib64/firefox/firefox
170       0.0298  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evbuffer_chain_insert
170       0.0298  libjemalloc.so.2         libjemalloc.so.2         arena_bin_malloc_hard
170       0.0298  server                   server                   tbb::internal::atomic_impl<unsigned long>::store_with_release(unsigned long)
170       0.0298  server                   server                   tbb::internal::call_itt_notify(tbb::internal::notify_type, void*)
166       0.0291  server                   server                   tbb::internal::machine_load_store<unsigned char, 1ul>::store_with_release(unsigned char volatile&, unsigned char)
161       0.0282  server                   server                   tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::ptr_converter<tbb::strict_ppl::internal::concurrent_queue_rep_base::page**>::ptr_converter(tbb::strict_ppl::internal::concurrent_queue_rep_base::page**)
156       0.0274  [vdso] (tgid:67080 range:0x7ffed92b4000-0x7ffed92b6000) firefox                  [vdso] (tgid:67080 range:0x7ffed92b4000-0x7ffed92b6000)
