Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:14:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:16:03 PM       0     22.22      0.00     70.71      0.00      0.00      7.07
10:16:04 PM       0     23.71      0.00     69.07      0.00      0.00      7.22
10:16:05 PM       0     24.00      0.00     70.00      0.00      0.00      6.00
10:16:06 PM       0     25.00      0.00     67.71      0.00      0.00      7.29
10:16:07 PM       0     24.49      0.00     69.39      0.00      0.00      6.12
10:16:08 PM       0     22.45      0.00     70.41      0.00      0.00      7.14
10:16:09 PM       0     21.43      0.00     71.43      0.00      0.00      7.14
10:16:10 PM       0     23.71      0.00     70.10      0.00      0.00      6.19
10:16:11 PM       0     23.23      0.00     69.70      0.00      0.00      7.07
10:16:12 PM       0     23.47      0.00     69.39      0.00      0.00      7.14
10:16:13 PM       0     23.00      0.00     70.00      0.00      0.00      7.00
10:16:14 PM       0     22.45      0.00     71.43      0.00      0.00      6.12
10:16:15 PM       0     22.00      0.00     71.00      0.00      0.00      7.00
10:16:16 PM       0     23.71      0.00     69.07      0.00      0.00      7.22
10:16:17 PM       0     24.24      0.00     68.69      0.00      0.00      7.07
10:16:18 PM       0     23.23      0.00     69.70      0.00      0.00      7.07
10:16:19 PM       0     24.24      0.00     69.70      0.00      0.00      6.06
10:16:20 PM       0     24.49      0.00     68.37      0.00      0.00      7.14
10:16:21 PM       0     24.24      0.00     68.69      0.00      0.00      7.07
10:16:22 PM       0     24.24      0.00     68.69      0.00      0.00      7.07
10:16:23 PM       0     24.74      0.00     68.04      0.00      0.00      7.22
10:16:24 PM       0     24.49      0.00     68.37      0.00      0.00      7.14
10:16:25 PM       0     24.74      0.00     68.04      0.00      0.00      7.22
10:16:26 PM       0     21.43      0.00     71.43      0.00      0.00      7.14
10:16:27 PM       0     21.43      0.00     72.45      0.00      0.00      6.12
10:16:28 PM       0     25.00      0.00     68.00      0.00      0.00      7.00
10:16:29 PM       0     21.43      0.00     72.45      0.00      0.00      6.12
10:16:30 PM       0     24.74      0.00     69.07      0.00      0.00      6.19
10:16:31 PM       0     23.47      0.00     70.41      0.00      0.00      6.12
10:16:32 PM       0     20.62      0.00     73.20      0.00      0.00      6.19
10:16:33 PM       0     21.43      0.00     72.45      0.00      0.00      6.12
10:16:34 PM       0     22.22      0.00     70.71      0.00      0.00      7.07
10:16:35 PM       0     23.47      0.00     70.41      0.00      0.00      6.12
10:16:36 PM       0     23.47      0.00     70.41      0.00      0.00      6.12
10:16:37 PM       0     22.22      0.00     71.72      0.00      0.00      6.06
10:16:38 PM       0     23.47      0.00     70.41      0.00      0.00      6.12
10:16:39 PM       0     20.83      0.00     72.92      0.00      0.00      6.25
10:16:40 PM       0     22.45      0.00     70.41      0.00      0.00      7.14
10:16:41 PM       0     25.25      0.00     68.69      0.00      0.00      6.06
10:16:42 PM       0     25.25      0.00     68.69      0.00      0.00      6.06
10:16:43 PM       0     22.00      0.00     71.00      0.00      0.00      7.00
10:16:44 PM       0     23.23      0.00     70.71      0.00      0.00      6.06
10:16:45 PM       0     24.49      0.00     69.39      0.00      0.00      6.12
10:16:46 PM       0     23.47      0.00     70.41      0.00      0.00      6.12
10:16:47 PM       0     22.68      0.00     71.13      0.00      0.00      6.19
10:16:48 PM       0     23.71      0.00     70.10      0.00      0.00      6.19
10:16:49 PM       0     24.24      0.00     68.69      0.00      0.00      7.07
10:16:50 PM       0     21.43      0.00     72.45      0.00      0.00      6.12
10:16:51 PM       0     22.00      0.00     72.00      0.00      0.00      6.00
10:16:52 PM       0     22.92      0.00     70.83      0.00      0.00      6.25
10:16:53 PM       0     25.51      0.00     68.37      0.00      0.00      6.12
10:16:54 PM       0     23.53      0.00     68.63      0.00      0.00      7.84
10:16:55 PM       0     23.23      0.00     64.65      0.00      0.00     12.12
10:16:56 PM       0     17.17      0.00     58.59      0.00      0.00     24.24
10:16:57 PM       0     14.85      0.00     43.56      0.00      0.00     41.58
10:16:58 PM       0      9.90      0.00     27.72      0.00      0.00     62.38
10:16:59 PM       0      6.19      0.00     22.68      3.09      0.00     68.04
10:17:00 PM       0      4.00      0.00     14.00      0.00      0.00     82.00
10:17:01 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:02 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:03 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:04 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:05 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:06 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:07 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:08 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:09 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:10 PM       0      0.00      0.00      0.00      4.00      0.00     96.00
10:17:11 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:12 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:13 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:14 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:15 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:16 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:17 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:18 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:19 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:20 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:21 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:22 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:23 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:24 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:25 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:26 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:27 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:28 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:29 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:30 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:31 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:32 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:33 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:34 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:35 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:36 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:37 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:38 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:39 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:40 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:41 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:42 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:43 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:44 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:45 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:46 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:47 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
